conml,conm,tic,cik,gvkey,Works?
Emerson Radio Corp,EMERSON RADIO CORP,MSN,0000032621,4322,
Empire District Electric Co.,EMPIRE DISTRICT ELECTRIC CO,EDE,0000032689,4331,
Emulex Corp.,EMULEX CORP,ELX,0000350917,4340,
SORL Auto Parts Inc,SORL AUTO PARTS INC,SORL,0000714284,4341,
Energen Corp.,ENERGEN CORP,EGN,0000277595,4351,
Energy Conversion Devices Inc,ENERGY CONVERSION DEV,ENERQ,0000032878,4352,
Weatherford International plc,WEATHERFORD INTL PLC,WFRD,0001603923,4367,
Engelhard Corp,ENGELHARD CORP,EC.2,0000352947,4371,
Engineered Support Systems Inc,ENGINEERED SUPPORT SYSTEMS,EASI.1,0000772891,4372,
Atmos Energy Corp,ATMOS ENERGY CORP,ATO,0000731802,4383,
Marathon Digital Holdings Inc,MARATHON DIGITAL HOLDNGS INC,MARA,0001507605,4384,
Enzon Pharmaceuticals Inc,ENZON PHARMACEUTICALS INC,ENZN,0000727510,4409,
Enzo Biochem Inc.,ENZO BIOCHEM INC,ENZ,0000316253,4418,
Equifax Inc.,EQUIFAX INC,EFX,0000033185,4423,
EQT Corp,EQT CORP,EQT,0000033213,4430,
Telefonaktiebolaget LM Ericsson,TELEFONAKTIEBOLAGET LM ERICS,ERIC,0000717826,4439,
Esterline Technologies Corp.,ESTERLINE TECHNOLOGIES CORP,ESL,0000033619,4460,
NewMarket Corp,NEWMARKET CORP,NEU,0001282637,4462,
Evans & Sutherland Computer Corp,EVANS & SUTHERLAND CMP CORP,ESCC,0000276283,4467,
Exar Corp,EXAR CORP,EXAR,0000753568,4476,
Kingstone Cos Inc,KINGSTONE COS INC,KINS,0000033992,4485,
DMC Global Inc,DMC GLOBAL INC,BOOM,0000034067,4497,
Insteel Industries Inc,INSTEEL INDUSTRIES,IIIN,0000764401,4498,
Exxon Mobil Corp,EXXON MOBIL CORP,XOM,0000034088,4503,
FMC Corp.,FMC CORP,FMC,0000037785,4510,
Orleans Homebuilders Inc,ORLEANS HOMEBUILDERS INC,OHBIQ,0000038570,4515,
NextEra Energy Inc,NEXTERA ENERGY INC,NEE,0000753308,4517,
Jo-Ann Stores Inc.,JO-ANN STORES INC,JAS,0000034151,4523,
Family Dollar Stores Inc.,FAMILY DOLLAR STORES,FDO,0000034408,4560,
Farmer Brothers Co,FARMER BROTHERS CO,FARM,0000034563,4579,
Fedders Corp.,FEDDERS CORP,FJCC,0000744106,4595,
FedEx Corp.,FEDEX CORP,FDX,0001048911,4598,
Russel Metals Inc,RUSSEL METALS INC,RUSMF,0000903657,4599,
Federal National Mortgage Association,FEDERAL NATIONAL MORTGA ASSN,FNMA,0000310522,4601,
Federal Realty Investment Trust,FEDERAL REALTY INVESTMENT TR,FRT,0000034903,4605,
Cole Real Estate Investments Inc,COLE REAL ESTATE INVESTMENTS,COLE,0001425923,4606,
Federal Signal Corp.,FEDERAL SIGNAL CORP,FSS,0000277509,4608,
Macy's Inc,MACY'S INC,M,0000794367,4611,
Ferro Corp.,FERRO CORP,FOE,0000035214,4622,
Caladrius Biosciences Inc,CALADRIUS BIOSCIENCES INC,CLBS,0000320017,4632,
Fifth Third Bancorp,FIFTH THIRD BANCORP,FITB,0000035527,4640,
Schawk Inc.,SCHAWK INC  -CL A,SGK,0000719164,4645,
Interactive Data Holdings Corp,INTERACTIVE DATA HLDGS -REDH,IDC,0001498720,4666,
Finning International Inc,FINNING INTERNATIONAL INC,FINGF,,4669,
Regions Financial Corp,REGIONS FINANCIAL CORP,RF,0001281761,4674,
Inamed Corp,INAMED CORP,IMDC.,0000109831,4675,
FirstMerit Corp,FIRSTMERIT CORP,FMER,0000354869,4678,
Trustmark Corp,TRUSTMARK CORP,TRMK,0000036146,4685,
First Citizens BancShares Inc,FIRST CITIZENS BANCSH  -CL A,FCNCA,0000798941,4690,
M&T Bank Corp,M & T BANK CORP,MTB,0000036270,4699,
U.S. Bancorp,US BANCORP,USB,0000036104,4723,
First Horizon Corp,FIRST HORIZON CORP,FHN,0000036966,4737,
Winthrop Realty Trust Inc,WINTHROP REALTY TRUST,FUR,0000037008,4740,
Magellan Aerospace Corp,MAGELLAN AEROSPACE CORP,MALJF,,4763,
FleetBoston Financial Corp.,FLEETBOSTON FINANCIAL CORP,FBF,0000050341,4764,
Fleetwood Enterprises Inc.,FLEETWOOD ENTERPRISES INC,FLTWQ,0000314132,4768,
Flexsteel Industries Inc,FLEXSTEEL INDUSTRIES INC,FLXS,0000037472,4771,
Florida East Coast Industries Inc.,FLORIDA EAST COAST INDS,FLA,0001360951,4790,
Florida Rock Industries Inc,FLORIDA ROCK INDUSTRIES INC,FRK,0000037651,4802,
Flow International Corp,FLOW INTL CORP,FLOW.1,0000713002,4807,
Flowers Foods Inc.,FLOWERS FOODS INC,FLO,0001128928,4809,
Fluor Corp,FLUOR CORP,FLR,0001124198,4818,
Fonar Corp,FONAR CORP,FONR,0000355019,4826,
Ford Motor Co,FORD MOTOR CO,F,0000037996,4839,
Ford Motor Credit Co LLC,FORD MOTOR CREDIT CO LLC,F1,0000038009,4840,
Forest City Realty Trust Inc,FOREST CITY REALTY TRUST INC,FCE.A,0001647509,4842,
Forest Oil Corp.,FOREST OIL CORP -OLD,FST.1,,4844,
L.B. Foster Co,FOSTER (LB) CO,FSTR,0000352825,4860,
Foster Wheeler AG,FOSTER WHEELER AG,FWLT,0001130385,4864,
Franklin Electric Co Inc,FRANKLIN ELECTRIC CO INC,FELE,0000038725,4881,
Franklin Resources Inc,FRANKLIN RESOURCES INC,BEN,0000038777,4885,
Frequency Electronics Inc.,FREQUENCY ELECTRONICS INC,FEIM,0000039020,4900,
Frisch's Restaurants Inc.,FRISCH'S RESTAURANTS INC,FRS,0000039047,4911,
Frozen Food Express Industries Inc,FROZEN FOOD EXPRESS INDS,FFEX,0000039273,4918,
H.B. Fuller Co.,FULLER (H. B.) CO,FUL,0000039368,4926,
G&K Services Inc,G&K SERVICES INC  -CL A,GK.2,0000039648,4936,
GATX Corp.,GATX CORP,GATX,0000040211,4941,
Arthur J. Gallagher & Co.,ARTHUR J GALLAGHER & CO,AJG,0000354190,4973,
TEGNA Inc,TEGNA INC,TGNA,0000039899,4988,
Gap Inc,GAP INC,GPS,0000039911,4990,
Aerojet Rocketdyne Holdings Inc,AEROJET ROCKETDYNE HOLDINGS,AJRD,0000040888,5018,
Genentech Inc,GENENTECH INC,DNA.2,0000318771,5020,
General Dynamics Corp,GENERAL DYNAMICS CORP,GD,0000040533,5046,
General Electric Co,GENERAL ELECTRIC CO,GE,0000040545,5047,
General Mills Inc.,GENERAL MILLS INC,GIS,0000040704,5071,
Ally Financial Inc,ALLY FINANCIAL INC,ALLY,0000040729,5072,
General Motors Co,GENERAL MOTORS CO,GM,0001467858,5073,
Electronic Data Systems Corp,ELECTRONIC DATA SYSTEMS CORP,EDS.,0001007456,5074,
SPX Corp,SPX CORP,SPXC,0000088205,5087,
Genesco Inc.,GENESCO INC,GCO,0000018498,5109,
Gentex Corporation,GENTEX CORP,GNTX,0000355811,5116,
Genuine Parts Co,GENUINE PARTS CO,GPC,0000040987,5125,
Georgia-Pacific Corp,GEORGIA-PACIFIC CORP,GP.1,0000041077,5134,
Gerber Scientific Inc,GERBER SCIENTIFIC INC,GRB,0000041133,5142,
Getty Realty Corp.,GETTY REALTY CORP,GTY,0001052752,5149,
Giga-Tronics Inc,GIGA-TRONICS INC,GIGA,0000719274,5165,
Gillette Co (The),GILLETTE CO,G.1,0000041499,5169,
Glatfelter Corp,GLATFELTER CORP,GLT,0000041719,5179,
Glaxosmithkline PLC,GLAXOSMITHKLINE PLC,GSK,0001131399,5180,
Gold Reserve Inc,GOLD RESERVE INC,GDRZF,0001072725,5205,
Goldfield Corp (The),GOLDFIELD CORP,GV,0000042316,5218,
Goodrich Corp,GOODRICH CORP,GR,0000042542,5229,
Goodyear Tire & Rubber Co,GOODYEAR TIRE & RUBBER CO,GT,0000042582,5234,
KYTHERA Biopharmaceuticals Inc,KYTHERA BIOPHARMA INC,KYTH,0001436304,5241,
Grace (W R) & Co,GRACE (W R) & CO,GRA,0001045309,5250,
Graco Inc.,GRACO INC,GGG,0000042888,5252,
Graham Corp,GRAHAM CORP,GHM,0000716314,5254,
Grainger (W.W.) Inc,GRAINGER (W W) INC,GWW,0000277135,5256,
Gray Television Inc.,GRAY TELEVISION INC,GTN,0000043196,5284,
Great Atlantic & Pacific Tea Co Inc. (The),GREAT ATLANTIC & PAC TEA CO,GAPTQ,0000043300,5301,
Great Lakes Chemical Corp.,GREAT LAKES CHEMICAL CORP,GLK.1,0000043362,5306,
Phoenix Footwear Group Inc.,PHOENIX FOOTWEAR GROUP INC,PXFG,0000026820,5327,
Alseres Pharmaceuticals Inc,ALSERES PHARMACEUTICALS INC,ALSE,0000094784,5336,
Greif Inc.,GREIF INC  -CL A,GEF,0000043920,5338,
MoneyGram International Inc,MONEYGRAM INTERNATIONAL INC,MGI,0001273931,5342,
GulfMark Offshore Inc,GULFMARK OFFSHORE INC,GLF,0001030749,5379,
HEI Inc,HEI INC,HEIIQ,0000351298,5404,
Analex Corp,ANALEX CORP,NLX.2,0000044800,5422,
Halifax Corp,HALIFAX CORP,HALX,0000720671,5432,
Halliburton Co,HALLIBURTON CO,HAL,0000045012,5439,
L3Harris Technologies Inc,L3HARRIS TECHNOLOGIES INC,LHX,0000202058,5492,
Harsco Corp,HARSCO CORP,HSC,0000045876,5496,
Hasbro Inc.,HASBRO INC,HAS,0000046080,5518,
Allied Motion Technologies Inc,ALLIED MOTION TECHNOLOGIES,AMOT,0000046129,5520,
Haverty Furniture Cos Inc,HAVERTY FURNITURE,HVT,0000216085,5523,
Hawaiian Electric Co,HAWAIIAN ELECTRIC CO,HE1,0000046207,5525,
Hawaiian Electric Industries Inc.,HAWAIIAN ELECTRIC INDS,HE,0000354707,5526,
Healthcare Services Group Inc,HEALTHCARE SERVICES GROUP,HCSG,0000731012,5539,
Welltower Inc,WELLTOWER INC,WELL,0000766704,5543,
Sterling Construction Co Inc,STERLING CONSTRUCTION CO INC,STRL,0000874238,5559,
Hecla Mining Co,HECLA MINING CO,HL,0000719413,5560,
HEICO Corp,HEICO CORP,HEI,0000046619,5567,
The Kraft Heinz Co,KRAFT HEINZ CO,KHC,0001637459,5568,
Helen of Troy Ltd,HELEN OF TROY LTD,HELE,0000916789,5572,
Helix Technology Corp,HELIX TECHNOLOGY CORP,HELX.1,0000046709,5578,
Helmerich & Payne Inc.,HELMERICH & PAYNE,HP,0000046765,5581,
Hercules Inc,HERCULES INC,HPC,0000046989,5589,
Herley Industries Inc,HERLEY INDUSTRIES INC/DE,HRLY,0000047035,5594,
Hershey Co (The),HERSHEY CO,HSY,0000047111,5597,
Hertz Global Holdings Inc,HERTZ GLOBAL HOLDINGS INC,HTZ,0001657853,5600,
HP Inc,HP INC,HPQ,0000047217,5606,
Hexcel Corp,HEXCEL CORP,HXL,0000717605,5608,
Hill-Rom Holdings Inc,HILL-ROM HOLDINGS INC,HRC,0000047518,5639,
Hilton Worldwide Holdings Inc,HILTON WORLDWIDE HOLDINGS,HLT,0001585689,5643,
Hitachi Ltd,HITACHI LTD,HTHIY,0000047710,5650,
HF Sinclair Corp,HF SINCLAIR CORP,DINO,0001915657,5667,
Pinnacle Entertainment Inc.,PINNACLE ENTERTAINMENT INC,PNK,0001656239,5671,
Home Depot Inc. (The),HOME DEPOT INC,HD,0000354950,5680,
HNI Corp,HNI CORP,HNI,0000048287,5690,
Honda Motor Co Ltd,HONDA MOTOR CO LTD,HMC,0000715153,5691,
Hooper Holmes Inc.,HOOPER HOLMES INC,HPHWQ,0000741815,5697,
Hormel Foods Corp,HORMEL FOODS CORP,HRL,0000048465,5709,
Hanover Direct Inc.,HANOVER DIRECT INC,HNVD,0000320333,5711,
Starwood Hotels & Resorts Worldwide Inc.,STARWOOD HOTELS&RESORTS WRLD,HOT,0000316206,5723,
Houghton Mifflin Co,HOUGHTON MIFFLIN CO,0780B,0000048638,5726,
HSBC Finance Corp,HSBC FINANCE CORP,HBC1,0000354964,5735,
CenterPoint Energy Inc.,CENTERPOINT ENERGY INC,CNP,0001130310,5742,
Hovnanian Enterprises Inc.,HOVNANIAN ENTRPRS INC  -CL A,HOV,0000357294,5750,
Hubbell Inc,HUBBELL INC,HUBB,0000048898,5764,
Hudson's Bay Co,HUDSON'S BAY CO,HBAYF,0001563377,5770,
Huffy Corp,HUFFY CORP,HUFCQ,0000225463,5772,
J.B. Hunt Transport Services Inc.,HUNT (JB) TRANSPRT SVCS INC,JBHT,0000728535,5783,
Huntington Bancshares Inc,HUNTINGTON BANCSHARES,HBAN,0000049196,5786,
Hutchinson Technology Inc,HUTCHINSON TECHNOLOGY INC,HTCH,0000772897,5791,
Huttig Building Products Inc,HUTTIG BUILDING PRODUCTS INC,HBP,0001093082,5792,
Saucony Inc,SAUCONY INC  -CL B,SCNYB,0000049401,5802,
IEC Electronics Corp,IEC ELECTRONICS CORP,IEC,0000049728,5831,
Life Partners Holdings Inc,LIFE PARTNERS HOLDINGS INC,LPHIQ,0000049534,5835,
ITT Inc,ITT INC,ITT,0000216228,5860,
Rayonier Inc.,RAYONIER INC,RYN,0000052827,5862,
IDACORP Inc.,IDACORP INC,IDA,0001057877,5870,
Illinois Tool Works Inc.,ILLINOIS TOOL WORKS,ITW,0000049826,5878,
Teligent Inc,TELIGENT INC,TLGTQ,0000352998,5888,
Imperial Chemical Industries PLC ICI,ICI-IMPERIAL CHEM INDS PLC,ICIYY,0000049906,5894,
Imperial Industries Inc,IMPERIAL INDUSTRIES INC,IPII,0000049930,5899,
Immunomedics Inc,IMMUNOMEDICS INC,IMMU,0000722830,5902,
Vectren Corp,VECTREN CORP,VVC,0001096385,5918,
Trane Technologies plc,TRANE TECHNOLOGIES PLC,TT,0001466258,5959,
Ryerson Holding Corp,RYERSON HOLDING CORP,RYI,0001481582,5968,
Aegion Corp,AEGION CORP,AEGN,0000353020,5978,
Griffon Corp.,GRIFFON CORP,GFF,0000050725,5987,
Integrated Device Technology Inc.,INTEGRATED DEVICE TECH INC,IDTI,0000703361,6003,
Intel Corp,INTEL CORP,INTC,0000050863,6008,
CoreCard Corporation,CORECARD CORPORATION,CCRD,0000320340,6013,
Inter-Tel (Delaware) Inc.,INTER-TEL INC  -SER A,INTL.1,0000350066,6020,
Furniture Brands International Inc.,FURNITURE BRANDS INTL INC,FBNIQ,0000050957,6025,
Interface Inc,INTERFACE INC,TILE,0000715787,6034,
Intergraph Corp,INTERGRAPH CORP,INGR.,0000351145,6036,
INTERMET Corp,INTERMET CORP,INMTQ,0000745287,6044,
International Business Machines Corp,INTL BUSINESS MACHINES CORP,IBM,0000051143,6066,
International Flavors & Fragrances Inc,INTL FLAVORS & FRAGRANCES,IFF,0000051253,6078,
Navistar International Corp,NAVISTAR INTERNATIONAL CORP,NAV,0000808450,6081,
Navistar Financial Corp,NAVISTAR FINANCIAL CORP,NAV1,0000051303,6082,
International Game Technology,INTL GAME TECHNOLOGY,IGT.1,0000353944,6097,
InterDigital Inc,INTERDIGITAL INC,IDCC,0001405495,6100,
International Multifoods Corp,INTL MULTIFOODS CORP,IMC.1,0000051410,6102,
International Paper Co,INTL PAPER CO,IP,0000051434,6104,
International Rectifier Corp,INTL RECTIFIER CORP,IRF,0000316793,6109,
IRIS International Inc.,IRIS INTERNATIONAL INC,IRIS,0000319240,6110,
International Shipholding Corp,INTL SHIPHOLDING CORP,ISHCQ,0000278041,6115,
International Speedway Corp,INTL SPEEDWAY CORP  -CL A,ISCA,0000051548,6116,
Interphase Corp,INTERPHASE CORP,INPHQ,0000728249,6130,
Enbridge Inc,ENBRIDGE INC,ENB,0000895728,6135,
Interpublic Group of Cos Inc (The),INTERPUBLIC GROUP OF COS,IPG,0000051644,6136,
Invacare Corp,INVACARE CORP,IVC,0000742112,6158,
Ionics Inc,IONICS INC,ION.2,0000052466,6171,
ISC8 Inc,ISC8 INC,ISCIQ,0000357108,6185,
Anixter International Inc,ANIXTER INTL INC,AXE,0000052795,6196,
JLG Industries Inc.,JLG INDUSTRIES INC,JLG,0000216275,6207,
Jaco Electronics Inc,JACO ELECTRONICS INC,JACO,0000052971,6215,
Jacobs Engineering Group Inc.,JACOBS ENGINEERING GROUP INC,J,0000052988,6216,
EMCOR Group Inc.,EMCOR GROUP INC,EME,0000105634,6223,
Jefferies Group LLC,JEFFERIES GROUP LLC,LUK2,0001084580,6239,
Jefferson-Pilot Corp,JEFFERSON-PILOT CORP,JP.1,0000053347,6241,
Smurfit-Stone Container Corp,SMURFIT-STONE CONTAINER CORP,SSCC.,0000094610,6242,
Johnson & Johnson,JOHNSON & JOHNSON,JNJ,0000200406,6266,
Johnson Controls International Plc,JOHNSON CONTROLS INTL PLC,JCI,0000833444,6268,
KLA Corp,KLA CORP,KLAC,0000319201,6304,
Klm Koninklijke Luchtvaart Mij NV,KLM-ROYAL DUTCH AIRLINES,KLMR,0000056316,6305,
Sears Holdings Corp,SEARS HOLDINGS CORP,SHLDQ,0001310067,6307,
Kinder Morgan Inc.,KINDER MORGAN INC,KMI,0001506307,6310,
K-V Pharmaceutical Co,K V PHARMACEUTICAL  -CL A,KVPHQ,0000057055,6315,
Kaman Corp,KAMAN CORP,KAMN,0000054381,6326,
Furmanite Corp,FURMANITE CORP,FRM,0000054441,6331,
Great Plains Energy Inc,GREAT PLAINS ENERGY INC,GXP,0001143068,6334,
Kansas City Southern,KANSAS CITY SOUTHERN,KSU,0000054480,6335,
EVERGY INC,EVERGY INC,EVRG,0001711269,6338,
CKE Restaurants Inc.,CKE RESTAURANTS INC,APO3,0000919628,6346,
Kaydon Corp,KAYDON CORP,KDN,0000740694,6357,
Kellogg Co,KELLOGG CO,K,0000055067,6375,
Kelly Services Inc.,KELLY SERVICES INC  -CL A,KELYA,0000055135,6379,
Kennametal Inc.,KENNAMETAL INC,KMT,0000055242,6386,
Kerr-McGee Corp,KERR-MCGEE CORP,KMG.1,0001141185,6403,
Key Tronic Corp,KEY TRONIC CORP,KTCC,0000719733,6416,
Kimball International Inc,KIMBALL INTERNATIONAL  -CL B,KBAL,0000055772,6433,
Kimberly-Clark Corp,KIMBERLY-CLARK CORP,KMB,0000055785,6435,
Kirby Corp,KIRBY CORP,KEX,0000056047,6461,
Komatsu Ltd,KOMATSU LTD,KMTUY,0000056594,6494,
Kroger Co. (The),KROGER CO,KR,0000056873,6502,
Kulicke and Soffa Industries Inc,KULICKE & SOFFA INDUSTRIES,KLIC,0000056978,6509,
LSI Industries Inc,LSI INDUSTRIES INC,LYTS,0000763532,6527,
LSB Industries Inc,LSB INDUSTRIES INC,LXU,0000060714,6528,
LSI Corp,LSI CORP,LSI.1,0000703360,6529,
Xcerra Corp,XCERRA CORP,XCRA,0000357020,6532,
La-Z-Boy Inc,LA-Z-BOY INC,LZB,0000057131,6543,
Spire Inc,SPIRE INC,SR,0001126956,6547,
Lam Research Corp,LAM RESEARCH CORP,LRCX,0000707549,6565,
Lancaster Colony Corp,LANCASTER COLONY CORP,LANC,0000057515,6573,
Snyder's-Lance Inc,SNYDERS-LANCE INC,LNCE,0000057528,6574,
PhotoMedex Inc-Old,PHOTOMEDEX INC-OLD,PHMD.1,,6598,
Lawson Products Inc,LAWSON PRODUCTS,LAWS,0000703604,6617,
Lee Enterprises Inc,LEE ENTERPRISES INC,LEE,0000058361,6639,
Leggett & Platt Inc,LEGGETT & PLATT INC,LEG,0000058492,6649,
Legg Mason Inc,LEGG MASON INC,LM,0000704051,6653,
Lennar Corp,LENNAR CORP,LEN,0000920760,6669,
LESCO Inc,LESCO INC,LSCO,0000745394,6678,
Lionore Mining International Ltd,LIONORE MINING INTL LTD,3LMGGF,0001176276,6704,
Lifeline Systems Inc,LIFELINE SYSTEMS INC,LIFE.1,0001302676,6722,
Eli Lilly and Co,LILLY (ELI) & CO,LLY,0000059478,6730,
Bath & Body Works Inc,BATH & BODY WORKS INC,BBWI,0000701985,6733,
Lincoln Electric Holdings Inc,LINCOLN ELECTRIC HLDGS INC,LECO,0000059527,6737,
Lincoln National Corp,LINCOLN NATIONAL CORP,LNC,0000059558,6742,
Kate Spade & Co,KATE SPADE & CO,KATE,0000352363,6768,
Loblaw Cos Ltd,LOBLAW COS LTD,LBLCF,0001081862,6771,
Lockheed Martin Corp,LOCKHEED MARTIN CORP,LMT,0000936468,6774,
Loews Corp,LOEWS CORP,L,0000060086,6781,
Range Resources Corp.,RANGE RESOURCES CORP,RRC,0000315852,6788,
Keyspan Corp.,KEYSPAN CORP,KSE,0001062379,6799,
Longs Drug Stores Corp,LONGS DRUG STORES CORP,LDG,0000764762,6802,
COMFORCE Corp,COMFORCE CORP,CFS,0000006814,6809,
Louisiana-Pacific Corp,LOUISIANA-PACIFIC CORP,LPX,0000060519,6821,
Lowe's Cos Inc,LOWE'S COS INC,LOW,0000060667,6829,
Lubrizol Corp (The),LUBRIZOL CORP,LZ.1,0000060751,6830,
Luby's Inc.,LUBYS INC,LUB,0000016099,6831,
Lufkin Industries Inc,LUFKIN INDUSTRIES INC,LUFK,0000060849,6836,
Cybex International Inc.,CYBEX INTERNATIONAL INC,CYBI,0000060876,6839,
Lydall Inc.,LYDALL INC,LDL,0000060977,6845,
LGL Group Inc (The),LGL GROUP INC,LGL,0000061004,6848,
M.D.C. Holdings Inc.,MDC HOLDINGS INC,MDC,0000773141,6865,
MDU Resources Group Inc.,MDU RESOURCES GROUP INC,MDU,0000067716,6867,
MTS Systems Corp,MTS SYSTEMS CORP,MTSC,0000068709,6900,
MacDermid Inc,MACDERMID INC,MRD.1,0000061138,6908,
MSC.Software Corp,MSC SOFTWARE CORP,MSCS,0000717238,6922,
North American Palladium Ltd.,NORTH AMERICAN PALLADIUM,PALDF,0000887701,6930,
Magna International Inc,MAGNA INTERNATIONAL INC,MGA,0000749098,6946,
Makita Corp,MAKITA CORP,MKTAY,0000202467,6972,
Manitowoc Co Inc (The),MANITOWOC CO,MTW,0000061986,6994,
Enventis Corp,ENVENTIS CORP,ENVE,0000766561,6995,
Marathon Oil Corp,MARATHON OIL CORP,MRO,0000101778,7017,
Marcus Corp (The),MARCUS CORP,MCS,0000062234,7022,
Host Hotels & Resorts Inc,HOST HOTELS & RESORTS INC,HST,0001070750,7063,
Marsh & McLennan Companies Inc,MARSH & MCLENNAN COS,MMC,0000062709,7065,
Masco Corporation,MASCO CORP,MAS,0000062996,7085,
Metaldyne Corp,METALDYNE CORP,0410B,0000745448,7086,
Material Sciences Corp,MATERIAL SCIENCES CORP,MASC,0000755003,7107,
Panasonic Holdings Corporation,PANASONIC HOLDINGS CORP,PCRFY,0000063271,7114,
Mattel Inc.,MATTEL INC,MAT,0000063276,7116,
Maxtor Corp,MAXTOR CORP,MXO,0000711039,7123,
Maxwell Technologies Inc,MAXWELL TECHNOLOGIES INC,MXWL,0000319815,7124,
May Department Stores Co (The),MAY DEPARTMENT STORES CO,MAY.2,0000063416,7127,
McCormick & Co Inc,MCCORMICK & CO INC,MKC,0000063754,7146,
McDermott International Inc.,MCDERMOTT INTL INC,MDRIQ,0000708819,7152,
McDonald's Corp,MCDONALD'S CORP,MCD,0000063908,7154,
McGrath RentCorp,MCGRATH RENTCORP,MGRC,0000752714,7161,
S&P Global Inc,S&P GLOBAL INC,SPGI,0000064040,7163,
McKesson Corp,MCKESSON CORP,MCK,0000927653,7171,
Soluna Holdings Inc,SOLUNA HOLDINGS INC,SLNH,0000064463,7183,
Medco Health Solutions Inc.,MEDCO HEALTH SOLUTIONS INC,MHS,0001170650,7186,
Integral Vision Inc,INTEGRAL VISION INC,INVI,0000719152,7192,
Medical Action Industries Inc,MEDICAL ACTION INDUSTRIES,MDCI,0000748270,7205,
Medtronic PLC,MEDTRONIC PLC,MDT,0001613103,7228,
Mellon Financial Corp,MELLON FINANCIAL CORP,MEL.3,0000064782,7238,
CVS Health Corp,CVS HEALTH CORP,CVS,0000064803,7241,
Mentor Graphics Corp,MENTOR GRAPHICS CORP,MENT,0000701811,7251,
Mercantile Bankshares Corp,MERCANTILE BANKSHARES CORP,MRBK.1,0000064908,7253,
Merck & Co Inc,MERCK & CO,MRK,0000310158,7257,
Meredith Corp,MEREDITH CORP,MDP,0000065011,7260,
Merrimac Industries Inc.,MERRIMAC INDUSTRIES INC,MRM.1,0000706864,7268,
Met-Pro Corp,MET-PRO CORP,MPR,0000065201,7281,
Methode Electronics Inc,METHODE ELECTRONICS INC,MEI,0000065270,7291,
Michaels Cos Inc (The),MICHAELS COS INC,MIK,0001593936,7316,
MICROS Systems Inc,MICROS SYSTEMS INC,MCRS,0000320345,7331,
Micron Technology Inc.,MICRON TECHNOLOGY INC,MU,0000723125,7343,
Microsemi Corp,MICROSEMI CORP,MSCC,0000310568,7346,
Entergy corporation,ENTERGY CORP,ETR,0000065984,7366,
MillerKnoll Inc,MILLERKNOLL INC,MLKN,0000066382,7401,
Miller Industries Inc,MILLER INDUSTRIES INC,MLLS,0000066388,7402,
Millipore Corp,MILLIPORE CORP,MIL.2,0000066479,7409,
MSA Safety Inc,MSA SAFETY INC,MSA,0000066570,7420,
EXCO Resources Inc,EXCO RESOURCES INC,EXCE,0000316300,7422,
3M Co,3M CO,MMM,0000066740,7435,
ALLETE Inc.,ALLETE INC,ALE,0000066756,7437,
Zarlink Semiconductor Inc.,ZARLINK SEMICONDUCTOR INC,3ZARLF,0000352435,7469,
Mitsui & Co Ltd,MITSUI & CO LTD,MITSY,0000067099,7471,
Modine Manufacturing Co,MODINE MANUFACTURING CO,MOD,0000067347,7486,
Molex Inc.,MOLEX INC,MOLX,0000067472,7506,
Molycorp Inc,MOLYCORP INC,MCPIQ,0001489137,7509,
Monmouth Real Estate Investment Corp,MONMOUTH RE INVESTMENT CP,MNR,0000067625,7525,
Quidel Corp,QUIDEL CORP,QDEL,0000353569,7526,
Pharmacia Corp,PHARMACIA CORP,PHA.1,0000067686,7536,
Moog Inc.,MOOG INC  -CL A,MOG.A,0000067887,7549,
Moore Wallace Inc,MOORE WALLACE INC,MWI,0000067931,7554,
Ruby Tuesday Inc,RUBY TUESDAY INC,RT,0000068270,7566,
Veramark Technologies Inc,VERAMARK TECHNOLOGIES INC,VERA.1,0000747605,7576,
Motorola Solutions Inc,MOTOROLA SOLUTIONS INC,MSI,0000068505,7585,
Murphy Oil Corp,MURPHY OIL CORP,MUR,0000717423,7620,
Myers Industries Inc.,MYERS INDUSTRIES INC,MYE,0000069488,7636,
Viatris Inc,VIATRIS INC,VTRS,0001792044,7637,
Bank of America Corp,BANK OF AMERICA CORP,BAC,0000070858,7647,
NCR Corp,NCR CORP,NCR,0000070866,7648,
NL Industries Inc.,NL INDUSTRIES,NL,0000072162,7658,
NUI Corp,NUI CORP,NUI,0001105192,7668,
Northwest Airlines Corp,NORTHWEST AIRLINES CORP,NWA,0001058033,7672,
Nanometrics Inc,NANOMETRICS INC,NANO,,7682,
NAPCO Security Technologies Inc,NAPCO SECURITY TECH INC,NSSC,0000069633,7685,
Nash Finch Co,NASH FINCH CO,NAFC,0000069671,7691,
Marina Biotech Inc -Old,MARINA BIOTECH INC -OLD,MRNA.1,,7694,
National City Corp,NATIONAL CITY CORP,NCC,0000069970,7711,
NDCHealth Corp,NDCHEALTH CORP,NDC,0000070033,7723,
National Fuel Gas Co,NATIONAL FUEL GAS CO,NFG,0000070145,7733,
Tenet Healthcare Corp,TENET HEALTHCARE CORP,THC,0000070318,7750,
GP Strategies Corp,GP STRATEGIES CORP,GPX,0000070415,7759,
National Rural Utilities Cooperative Finance Corp,NATIONAL RURAL UTIL COOP CP,7252B,0000070502,7769,
High Liner Foods Inc,HIGH LINER FOODS INC,HLNFF,,7770,
